,国债,权重,,国债,权重,,国债,权重,,国债,权重
,019538,0.017694,,019541,0.001652,,019547,0.005568,,019551,0.016332
,019536,0.005522,,019538,0.016052,,019541,0.002314,,019547,0.006159
,019532,0.017694,,019536,0.00324,,019538,0.013153,,019541,0.009351
,019528,0.004852,,019532,0.016052,,019536,0.008167,,019538,0.016332
,019523,0.017694,,019528,0.00422,,019532,0.013153,,019536,0.006978
,019521,0.017694,,019523,0.016052,,019528,0.013066,,019532,0.016332
,019517,0.005869,,019521,0.002258,,019523,0.013153,,019528,0.011802
,019516,0.017694,,019517,0.004806,,019521,0.013153,,019523,0.016332
,019510,0.017694,,019516,0.016052,,019517,0.012885,,019521,0.016322
,019508,0.006748,,019510,0.016052,,019516,0.013153,,019517,0.00687
,019505,0.017694,,019508,0.001158,,019510,0.013153,,019516,0.016332
,019429,0.017694,,019505,0.016052,,019508,0.002901,,019510,0.003953
,019319,0.00282,,019429,0.016052,,019505,0.013153,,019508,0.0064
,019218,0.017694,,019319,0.006763,,019429,0.013153,,019505,0.016332
,019105,0.017694,,019218,0.016052,,019319,0.006778,,019429,0.016332
,010504,0.006661,,019105,0.016052,,019218,0.09284,,019319,0.004914
,,,,010504,0.002776,,019105,0.013153,,019218,0.016332
,,,,,,,010504,0.008342,,019105,0.016332
,,,,,,,,,,010504,0.005379
